hotel_id,nearby_place_id,Hotel Name,Area,Budget Category,Approx Price,Nearby Attractions,Facilities
HTL011,VNS013,Hotel Hindustan International (HHI),"Maldahiya, Cantt",Mid-range,"₹4,500 - ₹8,000","Maldahiya Crossing, Varanasi Junction","Swimming Pool, Multi-Cuisine Dining, Bar, Banquets, Valet Parking"
HTL012,VNS001,Ganges Grand,Godowlia Crossing,Mid-range,"₹3,800 - ₹6,500","Dashashwamedh Ghat, Kashi Vishwanath Temple","Rooftop Restaurant, Elevator, Air Conditioning, Travel Desk, Central Location"
HTL013,VNS001,Hotel Gautami Heights,Godowlia,Mid-range,"₹3,500 - ₹6,000","Dashashwamedh Ghat, Vishwanath Gali","Rooftop Dining, Riverview Rooms, Elevator, Room Service, Travel Desk"
HTL014,VNS001,Arcadia Hotel,"Cantt Road, Maldahiya",Mid-range,"₹3,200 - ₹5,500","Varanasi Junction, Sigra Mall","Restaurant, Conference Room, Parking, Free Wi-Fi, 24/7 Room Service"
HTL015,VNS013,Hotel Broadway,"Vijaynagar Colony, Cantt",Mid-range,"₹2,800 - ₹4,800",Varanasi Cantt Station,"In-house Restaurant, Travel Desk, Free Parking, Wi-Fi, AC Rooms"
HTL016,VNS004,Palace On Ganges,Assi Ghat / Shivala,Mid-range,"₹4,200 - ₹7,000","Assi Ghat, Tulsi Ghat","Heritage Themed Rooms, Rooftop Restaurant, Riverfront View, Wi-Fi"
HTL017,VNS013,Hotelcity Inn,Cantt Railway Station Road,Mid-range,"₹2,500 - ₹4,200",Varanasi Cantt Station,"Restaurant, Free Airport Shuttle, Free Parking, 24-Hour Front Desk"
HTL018,VNS004,Hotel Grapevine,Ravindrapuri Road,Mid-range,"₹3,000 - ₹5,200","Assi Ghat, BHU Campus","Restaurant, Rooftop Seating, Free Wi-Fi, Travel Assistance, AC Rooms"
HTL019,VNS004,Hotel Temple On Ganges,Assi Ghat,Mid-range,"₹2,800 - ₹4,500","Assi Ghat, Ganges River","Rooftop Cafe, Yoga Classes, River View Terrace, Free Wi-Fi"
HTL020,VNS001,Hotel Meraden Grand,Chowkaghat,Mid-range,"₹4,000 - ₹6,800","Varuna Riverfront, Cantt","Multi-Cuisine Restaurants, Coffee Shop, Banquets, Fitness Room"
HTL021,VNS001,Zostel Varanasi,"Luxa Road, Near Godowlia",Budget,"₹800 - ₹2,200","Dashashwamedh Ghat, Godowlia Market","Dormitories, Private Rooms, Common Rooftop Lounge, Cafe, Free Wi-Fi, Game Zone"
HTL022,VNS004,Moustache Varanasi Hostel,Assi Ghat Road,Budget,"₹700 - ₹2,000","Assi Ghat, Subah-e-Banaras","Rooftop Terrace, Air Conditioned Dorms, Luggage Storage, Community Kitchen"
HTL023,VNS029,goStops Varanasi,Luxa Road,Budget,"₹650 - ₹1,800","Godowlia Crossing, Kashi Vishwanath","Common Lounge, AC Dorms & Private Rooms, High-Speed Wi-Fi, Cafe"
HTL024,VNS001,Ganpati Guest House,Meer Ghat,Budget,"₹1,500 - ₹3,200","Dashashwamedh Ghat, Kashi Vishwanath","Colorful Courtyard, Rooftop Restaurant, River Views, Travel Desk"
HTL025,VNS001,Alka Hotel,Mir Ghat,Budget,"₹1,800 - ₹3,500","Dashashwamedh Ghat, Manikarnika Ghat","Large River View Balcony Terrace, Pure Veg Restaurant, Wi-Fi"
HTL026,VNS033,Siti Guest House,Chauki Ghat,Budget,"₹1,200 - ₹2,500","Kedar Ghat, Harishchandra Ghat","Rooftop River View, Free Wi-Fi, Clean Rooms, Hot Shower"
HTL027,VNS004,Stops Hostel / Wander Station,Shivala,Budget,"₹600 - ₹1,800","Assi Ghat, Chet Singh Ghat","Rooftop Cafe, Library, Free Wi-Fi, Walking Tours, Air Conditioning"
HTL028,VNS002,Hotel Kashi,Godowlia Crossing,Budget,"₹1,200 - ₹2,200","Kashi Vishwanath Temple, Vishwanath Gali","AC Rooms, Elevator, Pure Veg Restaurant, Central Location"
HTL029,VNS001,Shiva Ganges View Guest House,Mansarowar Ghat,Budget,"₹1,400 - ₹2,800","Dashashwamedh Ghat, Kedar Ghat","Balcony River View, Free Wi-Fi, Rooftop Seating, Hot Water"
HTL030,VNS004,Mellme Hostel & Hotel,Ravindrapuri,Budget,"₹700 - ₹2,000","Assi Ghat, BHU Campus","Workstations, High-Speed Wi-Fi, Rooftop Cafe, AC Dorms"
HTL031,VNS004,Assi River Guest House,"Nagwa, Assi",Budget,"₹1,000 - ₹2,000","Assi Ghat, BHU Gate","Clean Rooms, Hot Water, Wi-Fi, Quiet Neighborhood"
HTL032,VNS001,Hotel Park Plaza Varanasi,Lahurabir,Budget,"₹1,500 - ₹2,500","Chetganj, Town Hall","AC Rooms, Elevator, Room Service, Free Wi-Fi"
HTL033,VNS016,Sarnath Guest House,Near Sarnath Museum,Budget,"₹900 - ₹1,800","Dhamek Stupa, Sarnath Museum","Garden Lawn, In-house Kitchen, Hot Water, Free Parking"
HTL034,VNS001,Hotel Heritage Inn,Lanka,Budget,"₹1,200 - ₹2,200","BHU Main Gate, New Vishwanath Temple","AC Rooms, Free Wi-Fi, Elevator, 24/7 Front Desk"
HTL035,VNS001,Surya PG & Guest House,Bangali Tola,Budget,"₹800 - ₹1,600","Dashashwamedh Ghat, Kashi Vishwanath","Rooftop Access, Clean Bathrooms, Hot Shower, Free Wi-Fi"
