emergency_id,place_id,place_name,police_station_name,police_station_address,police_phone,police_toll_free,nearest_hospital_name,hospital_address,hospital_phone,ambulance_toll_free,fire_station_name,fire_station_address,fire_phone,fire_toll_free,women_helpline_toll_free,tourist_helpline_toll_free
EMG011,VNS011,Tulsi Manas Mandir,Lanka Police Station,Lanka Crossing,0542-2368555,112,Sir Sunderlal Hospital & BHU Trauma Centre,BHU Campus,0542-2369211,108,Bhelupur Fire Station,Bhelupur,0542-2310101,101,1090,1363
EMG012,VNS012,Durga Kund Temple (Durga Mandir),Lanka Police Station,Lanka Crossing,0542-2368555,112,Sir Sunderlal Hospital & BHU Trauma Centre,BHU Campus,0542-2369211,108,Bhelupur Fire Station,Bhelupur,0542-2310101,101,1090,1363
EMG013,VNS013,Bharat Mata Mandir,Cantt Police Station,Varanasi Junction,0542-2502333,112,Hindustan Hospital / Railway Hospital,Cantt,0542-2502555,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG014,VNS014,Kaal Bhairav Temple,Chowk Police Station,Chowk,0542-2402500,112,SSP Gupta Hospital / Kabir Chaura Hospital,Maidagin,0542-2401122,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG015,VNS015,Annapurna Temple,Chowk Police Station,Chowk,0542-2402500,112,SSP Gupta Hospital / Kabir Chaura Hospital,Maidagin,0542-2401122,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG016,VNS016,Chaukhandi Stupa,Sarnath Police Station,Sarnath Main Road,0542-2585100,112,Pandeypur District Hospital,Pandeypur,0542-2587200,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG017,VNS017,Bharat Kala Bhavan Museum,Cantt Police Station,Varanasi Junction,0542-2502333,112,Hindustan Hospital / Railway Hospital,Cantt,0542-2502555,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG018,VNS018,Jantar Mantar Varanasi (Man Singh Observatory),Dashashwamedh Tourist Police Booth,Godowlia Crossing,0542-2451234,112,Marwari Hospital,Godowlia,0542-2450523,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG019,VNS019,Namo Ghat (Khidkiya Ghat),Cantt Police Station,Varanasi Junction,0542-2502333,112,Hindustan Hospital / Railway Hospital,Cantt,0542-2502555,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG020,VNS020,Subah-e-Banaras at Assi Ghat,Lanka Police Station,Lanka Crossing,0542-2368555,112,Sir Sunderlal Hospital & BHU Trauma Centre,BHU Campus,0542-2369211,108,Bhelupur Fire Station,Bhelupur,0542-2310101,101,1090,1363
EMG021,VNS021,Scindia Ghat & Submerged Shiva Temple,Chowk Police Station,Chowk,0542-2402500,112,SSP Gupta Hospital / Kabir Chaura Hospital,Maidagin,0542-2401122,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG022,VNS022,Darbhanga Ghat & BrijRama Palace,Dashashwamedh Tourist Police Booth,Godowlia Crossing,0542-2451234,112,Marwari Hospital,Godowlia,0542-2450523,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG023,VNS023,Chet Singh Ghat,Lanka Police Station,Lanka Crossing,0542-2368555,112,Sir Sunderlal Hospital & BHU Trauma Centre,BHU Campus,0542-2369211,108,Bhelupur Fire Station,Bhelupur,0542-2310101,101,1090,1363
EMG024,VNS024,Panchganga Ghat,Chowk Police Station,Chowk,0542-2402500,112,SSP Gupta Hospital / Kabir Chaura Hospital,Maidagin,0542-2401122,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG025,VNS025,Mulagandha Kuti Vihar,Sarnath Police Station,Sarnath Main Road,0542-2585100,112,Pandeypur District Hospital,Pandeypur,0542-2587200,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG026,VNS026,Tibetan Temple Sarnath,Sarnath Police Station,Sarnath Main Road,0542-2585100,112,Pandeypur District Hospital,Pandeypur,0542-2587200,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG027,VNS027,Thai Temple Sarnath,Sarnath Police Station,Sarnath Main Road,0542-2585100,112,Pandeypur District Hospital,Pandeypur,0542-2587200,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG028,VNS028,Japanese Temple Sarnath,Sarnath Police Station,Sarnath Main Road,0542-2585100,112,Pandeypur District Hospital,Pandeypur,0542-2587200,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG029,VNS029,Godowlia Market,Dashashwamedh Tourist Police Booth,Godowlia Crossing,0542-2451234,112,Marwari Hospital,Godowlia,0542-2450523,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG030,VNS030,Vishwanath Gali,Chowk Police Station,Chowk,0542-2402500,112,SSP Gupta Hospital / Kabir Chaura Hospital,Maidagin,0542-2401122,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG031,VNS031,Thatheri Bazaar,Chowk Police Station,Chowk,0542-2402500,112,SSP Gupta Hospital / Kabir Chaura Hospital,Maidagin,0542-2401122,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG032,VNS032,Varanasi Silk Weaving Village (Peoplani / Madanpura),Dashashwamedh Tourist Police Booth,Godowlia Crossing,0542-2451234,112,Marwari Hospital,Godowlia,0542-2450523,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG033,VNS033,Kedar Ghat,Dashashwamedh Tourist Police Booth,Godowlia Crossing,0542-2451234,112,Marwari Hospital,Godowlia,0542-2450523,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG034,VNS034,Harishchandra Ghat,Dashashwamedh Tourist Police Booth,Godowlia Crossing,0542-2451234,112,Marwari Hospital,Godowlia,0542-2450523,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG035,VNS035,Tulsi Ghat,Lanka Police Station,Lanka Crossing,0542-2368555,112,Sir Sunderlal Hospital & BHU Trauma Centre,BHU Campus,0542-2369211,108,Bhelupur Fire Station,Bhelupur,0542-2310101,101,1090,1363
EMG036,VNS036,Alamgir Mosque (Beniyabagh / Panchganga),Chowk Police Station,Chowk,0542-2402500,112,SSP Gupta Hospital / Kabir Chaura Hospital,Maidagin,0542-2401122,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG037,VNS037,Lalita Ghat & Nepali Temple,Dashashwamedh Tourist Police Booth,Godowlia Crossing,0542-2451234,112,Marwari Hospital,Godowlia,0542-2450523,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG038,VNS038,Tilbhandeshwar Mahadev Temple,Dashashwamedh Tourist Police Booth,Godowlia Crossing,0542-2451234,112,Marwari Hospital,Godowlia,0542-2450523,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG039,VNS039,Vishalakshi Gauri Temple,Dashashwamedh Tourist Police Booth,Godowlia Crossing,0542-2451234,112,Marwari Hospital,Godowlia,0542-2450523,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG040,VNS040,Ganges River Boat Ride (Central Ghats),Dashashwamedh Tourist Police Booth,Godowlia Crossing,0542-2451234,112,Marwari Hospital,Godowlia,0542-2450523,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG041,VNS041,Sheetla Ghat,Dashashwamedh Tourist Police Booth,Godowlia Crossing,0542-2451234,112,Marwari Hospital,Godowlia,0542-2450523,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG042,VNS042,Ahilyabai Ghat,Dashashwamedh Tourist Police Booth,Godowlia Crossing,0542-2451234,112,Marwari Hospital,Godowlia,0542-2450523,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG043,VNS043,Munshi Ghat,Dashashwamedh Tourist Police Booth,Godowlia Crossing,0542-2451234,112,Marwari Hospital,Godowlia,0542-2450523,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG044,VNS044,Bhonsale Ghat,Chowk Police Station,Chowk,0542-2402500,112,SSP Gupta Hospital / Kabir Chaura Hospital,Maidagin,0542-2401122,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG045,VNS045,Trilochan Ghat,Chowk Police Station,Chowk,0542-2402500,112,SSP Gupta Hospital / Kabir Chaura Hospital,Maidagin,0542-2401122,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG046,VNS046,Manikarnika Kund,Chowk Police Station,Chowk,0542-2402500,112,SSP Gupta Hospital / Kabir Chaura Hospital,Maidagin,0542-2401122,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG047,VNS047,Markandeya Mahadev Temple (Kaethi),Cantt Police Station,Varanasi Junction,0542-2502333,112,Hindustan Hospital / Railway Hospital,Cantt,0542-2502555,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG048,VNS048,Mrigadayavan Zoo / Deer Park Sarnath,Sarnath Police Station,Sarnath Main Road,0542-2585100,112,Pandeypur District Hospital,Pandeypur,0542-2587200,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG049,VNS049,Batuk Bhairav Temple,Lanka Police Station,Lanka Crossing,0542-2368555,112,Sir Sunderlal Hospital & BHU Trauma Centre,BHU Campus,0542-2369211,108,Bhelupur Fire Station,Bhelupur,0542-2310101,101,1090,1363
EMG050,VNS050,Chintamani Ganesh Temple,Ramnagar Police Station,Ramnagar Fort Rd,0542-2268222,112,Ramnagar Government Hospital,Ramnagar,0542-2268300,108,Bhelupur Fire Station,Bhelupur,0542-2310101,101,1090,1363
