restaurant_id,nearby_place_id,restaurant_name,address,latitude,longitude,cuisine,veg_nonveg,price_range,opening_time,closing_time,family_friendly,wheelchair_accessible,parking,rating,nearby_attraction
RST036,VNS013,The Yellow Chilli by Sanjeev Kapoor,"Sigra Mall, Sigra, Varanasi, UP 221002",25.3182,82.9902,"Modern Indian, North Indian",Veg & Non-Veg,Moderate (₹600 - ₹1200),12:00,23:00,Yes,Yes,Yes,4.2,IP Sigra Mall
RST037,VNS019,Namo Ghat Food Court,"Khidkiya Ghat / Namo Ghat, Rajghat, Varanasi, UP 221001",25.3285,83.0315,"Multi-Cuisine Street Food, Fast Food",Pure Veg,Budget (₹150 - ₹350),10:00,23:00,Yes,Yes,Yes,4.3,Namo Ghat (Khidkiya Ghat)
RST038,VNS019,Cafe Riverview,"Namo Ghat Promenade, Varanasi, UP 221001",25.328,83.031,"Beverages, Pizza, Burgers, Snacks",Pure Veg,Budget (₹200 - ₹450),11:00,22:30,Yes,Yes,Yes,4.2,Namo Ghat (Khidkiya Ghat)
RST039,VNS013,Shree Shivay Thali Dining,"Maldahiya Crossing, Cantt Rd, Varanasi, UP 221001",25.323,82.994,Rajasthani & Gujarati Thali,Pure Veg,Moderate (₹400 - ₹700),12:00,22:30,Yes,Yes,Yes,4.4,Maldahiya Crossing
RST040,VNS004,Banaras Haveli Restaurant,"B 1/158, Assi Ghat, Varanasi, UP 221005",25.2878,82.999,"North Indian, Chinese, Continental",Pure Veg,Moderate (₹400 - ₹800),07:30,22:30,Yes,Moderate,No,4.2,Assi Ghat
RST041,VNS007,Goli Vada Pav No 1,"Lanka Crossing, Varanasi, UP 221005",25.2788,82.996,"Fast Food, Vada Pav, Burgers",Pure Veg,Budget (₹50 - ₹150),10:00,22:00,Yes,Yes,No,4.0,Banaras Hindu University (BHU)
RST042,VNS013,Moti Mahal Delux,"IP Grand Mall, Sigra, Varanasi, UP 221002",25.3185,82.9908,"North Indian, Mughlai, Butter Chicken",Veg & Non-Veg,Moderate (₹500 - ₹1000),12:00,23:00,Yes,Yes,Yes,4.1,IP Sigra Mall
RST043,VNS013,Anand Bhojanalaya,"Near Junction Railway Station, Cantt, Varanasi, UP 221002",25.327,82.986,"North Indian Thali, Pure Veg Meals",Pure Veg,Budget (₹150 - ₹300),08:00,22:30,Yes,Yes,No,4.0,Varanasi Junction Railway Station
RST044,VNS033,Banga Lassi Shop,"Near Kedar Ghat, Bangali Tola, Varanasi, UP 221001",25.2982,83.0058,"Lassi, Rabri, Sweets",Pure Veg,Budget (₹50 - ₹120),08:00,22:00,Yes,No,No,4.3,Kedar Ghat
RST045,VNS033,South Indian Cafe Kedar Ghat,"Kedar Ghat Steps, Varanasi, UP 221001",25.298,83.0062,"Authentic South Indian, Filter Coffee",Pure Veg,Budget (₹100 - ₹200),07:00,21:00,Yes,No,No,4.4,Kedar Ghat
RST046,VNS010,Sankat Mochan Ladoo Stall,"Sankat Mochan Temple Complex, Varanasi, UP 221005",25.2818,82.997,"Besan Ladoo Prasad, Sweets",Pure Veg,Budget (₹100 - ₹300),05:00,22:00,Yes,Yes,Yes,4.8,Sankat Mochan Hanuman Temple
RST047,VNS015,Annapurna Bhojanalaya,"Near Annapurna Temple, Vishwanath Gali, Varanasi, UP 221001",25.3105,83.0102,Traditional Prasad Thali,Pure Veg,Budget (₹100 - ₹200),11:30,20:00,Yes,No,No,4.6,Annapurna Temple
RST048,VNS049,Kamachha Snack Corner,"Kamachha Crossing, Bhelupur, Varanasi, UP 221010",25.3052,82.9922,"Samosa, Kachori, Jalebi",Pure Veg,Budget (₹50 - ₹100),06:30,21:00,Yes,Yes,No,4.2,Batuk Bhairav Temple
RST049,VNS001,Aangan Rooftop Restaurant,"Hotel Gautami Heights, Godowlia, Varanasi, UP 221001",25.3088,83.0075,"Multi-Cuisine, Rooftop Ganges View",Pure Veg,Moderate (₹500 - ₹1000),12:00,23:00,Yes,Yes,No,4.3,Dashashwamedh Ghat
RST050,VNS004,Bangles & Bites Cafe,"Ravindrapuri Road, Varanasi, UP 221005",25.2905,82.9942,"Italian, Fast Food, Shake Bar",Veg & Non-Veg,Budget (₹250 - ₹500),11:00,22:30,Yes,Yes,Yes,4.1,Assi Ghat
